Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X.slope_curve,Y.slope_curve,Z.slope_curve,X.slope_curve_err,Y.slope_curve_err,Z.slope_curve_err
1,0.591693809815347,0.7376121596630351,0.12358881633786947,0.2703262008730618,0.3265774929113902,0.26839617868269183,0.613824245556043,0.7372003092961854,0.11518998603783792,0.02336854258022472,0.01860388377724823,0.034767624494889744
2,-0.18773726302223004,-0.02634425054291599,0.24098407978091002,0.22588388186161967,0.24513065737562925,0.2574056000652293,-0.18323504507530156,-0.05288245476701259,0.23447183929198212,0.023155763175986548,0.017398864452669503,0.03589495819071988
3,-0.3467250778407333,-0.3815513577038683,0.3183605214453208,0.40181431122403566,0.2170921404504538,0.3184152036995715,-0.3451586583159034,-0.36820399099213796,0.3257302826930817,0.024947784080482444,0.014634489909382317,0.036784195361558886
4,-0.12911599873363985,0.03389855331983202,-0.3463320027189496,0.4442093879997081,0.2632916571161626,0.1509649834303346,-0.129869382935198,0.024002191172004084,-0.3619102735178361,0.02183883703670564,0.018580811687531236,0.0370981801519667
5,-0.22153384571247542,0.5171547438401067,-0.43262973943010274,0.24603818055358784,0.2692969588980106,0.34075924387322265,-0.23828752820039467,0.49775953598850564,-0.4342851343914864,0.030873168942139977,0.021024886620101945,0.033420116636365786
6,-0.381579252894727,-0.3600767864119105,0.6565911245324666,0.3352786953491633,0.29870446881774193,0.18094591424387346,-0.3847693356917534,-0.36928922096730243,0.6501833767233616,0.030842150617085617,0.029062699040024717,0.03733207269930181
7,0.3317111908368789,-1.0451267262422306,-0.1583059410662426,0.2967664579059606,0.3402393275231601,0.12662203627517105,0.31866446626143985,-1.0373024956853163,-0.15601920956936266,0.032204171085307924,0.030828109627326263,0.037007711411980546
8,-0.46249681668807,0.263445932899644,-0.03714143196208657,0.20527248976833273,0.1860044822624571,0.1447024425377772,-0.47165134400261777,0.23826412206993874,-0.033726999638555855,0.022915080946263627,0.023402001552034788,0.040891198625434416
9,-0.06738606574939938,0.15658031631398525,-0.00031283094039129467,0.19106343591034955,0.14526402068105856,0.14798200881220158,-0.06015518599914888,0.14599465099988618,-0.00798144917103727,0.020893407094684284,0.01644318339396097,0.033431548882349914
10,0.04137270609946691,0.7272447193358057,-0.9998371181208718,0.20725144432152562,0.1777387249633768,0.18145733933895228,0.05223149821441375,0.7136318828255469,-1.0038658113343955,0.03158605281380913,0.022289965832813934,0.02198439812851048
11,-0.08890969363516704,0.16892828499940454,-0.043787545451583185,0.20562765952766998,0.14242925875448645,0.149392484494342,-0.07743089527090152,0.16049806408108525,-0.0501435837090809,0.021007926617341785,0.016923929043742097,0.03368765887801428
12,19.130600806699267,-10.392271066571519,11.609314534593198,7.717061339325654,2.280224152360375,5.514299953034393,19.885096272159977,-10.391724838343281,10.006528470055883,0.1539227569856731,0.1514846388574533,0.11639743236535971
