Probe,X.slope_lin,Y.slope_lin,Z.slope_lin,X.slope_lin_err,Y.slope_lin_err,Z.slope_lin_err,X_zero_err,Y_zero_err,Z_zero_err
1,-0.32729106165652416,0.8558433479343442,0.7551166722356577,0.0,0.0,0.0,-0.056141657707825025,-0.019893010509060824,0.08596012312240013
2,-1.78558114036903,3.2111917513568873,-1.737114145440529,0.0,0.0,0.0,-0.04615963052262251,-0.14648500467073108,-0.1260802837832116
3,2.159157984497915,2.5678328037190923,-0.724679872462619,0.0,0.0,0.0,-0.1630183772638341,0.037371738689299605,-0.02461604908884788
4,0.10873453770678715,3.943058420102233,-2.7075073833433265,0.0,0.0,0.0,-0.17512314952205488,0.031067899287196655,-0.11447056658033909
5,1.496305751274039,1.261463052327631,-2.1850190099309743,0.0,0.0,0.0,0.028583984093527214,-0.11968634961778414,-0.023522569607590794
6,3.6306963922125433,1.3400279013223335,-2.7530212125468734,0.0,0.0,0.0,0.01758556845914941,0.05530226610778832,-0.04498711177878999
7,-0.1717542349996966,0.4741415531867718,-0.471480592464248,0.0,0.0,0.0,0.08115191741384234,-0.0583276706015211,0.12019490509475526
8,0.29987575695851765,1.147259171711076,1.9258031499939854,0.0,0.0,0.0,-0.05117624081559574,-0.1471146226469713,0.0002609637257428776
9,0.8981026296371916,1.4684418705067408,-0.360691332910816,0.0,0.0,0.0,-0.01795229524057105,0.014101617754489256,0.04914044432713994
10,1.0214375015692507,1.3047122321423776,-0.54898658674826,0.0,0.0,0.0,-0.0035608527673657376,0.03722023493358054,0.05542951541112696
11,0.9167155646913806,1.12691654898771,-0.5350302573134587,0.0,0.0,0.0,-0.004757267288732578,0.030090530143487285,0.06168476310019233
12,-80.14298560345588,20.453447409949067,-5.400029648256664,0.0,0.0,0.0,1.4974571460331212,-1.4178851873359697,3.027886636323481
