Dir,Xdata,Ydata
X,0.1081,0.0926
X,0.1192,0.0622
X,0.3538,0.0147
X,0.5881,0.0098
X,0.8252,0.007
X,1.0707,0.0066
X,1.3018,0.004
X,1.5421,0.0048
X,1.7796,0.0033
X,2.0273,0.0023
X,2.2499,0.0018
X,2.9579,0.0016
X,3.1984,0.0017
X,7.9609,0.0028
X,15.8787,0.0021
X,23.7794,0.0018
X,31.6715,0.0014
X,40.0411,0.0008
X,47.4302,0.0003
X,55.4557,0.0001
X,59.9642,0.0001
Y,0.119,0.0326
Y,0.3569,0.0075
Y,0.5932,0.0047
Y,0.8324,0.0034
Y,1.0707,0.0034
Y,1.3075,0.0024
Y,1.5488,0.0026
Y,1.7874,0.0018
Y,2.0273,0.0013
Y,2.2597,0.001
Y,2.5079,0.0014
Y,2.7355,0.0014
Y,2.9708,0.0009
Y,3.2123,0.001
Y,7.9609,0.0058
Y,9.9776,0.0007
Y,15.9478,0.0065
Y,23.9868,0.0016
Y,32.0868,0.0017
Y,39.8676,0.0004
Y,47.8439,0.0003
Y,55.9394,0.0002
Z,0.119,0.0204
Z,0.3569,0.0046
Z,0.5932,0.0031
Z,0.8324,0.0022
Z,1.0707,0.0021
Z,1.3075,0.0014
Z,1.5488,0.0015
Z,1.7796,0.0012
Z,2.4971,0.0009
Z,2.7355,0.0008
Z,7.9955,0.0014
Z,15.9478,0.0003
Z,23.8829,0.0005
Z,29.9331,0.0001
Z,31.9477,0.0004
Z,39.8676,0.0003
Z,47.8439,0.0001
Z,55.9394,0.0001
Z,59.9642,0.0001
T,0.119,0.0531
T,0.3569,0.0125
T,0.5958,0.0086
T,0.8324,0.0058
T,1.0707,0.0053
T,7.9609,0.0044
T,15.9478,0.005
T,23.9868,0.0013
T,31.9477,0.0021
T,40.0411,0.0008
T,47.8439,0.0004
T,55.697,0.0002
T,59.9642,0.0002
