Probe,Bx_var,By_var,Bz_var,Bx_var_1k,By_var_1k,Bz_var_1k
1,0.2458082062142108,0.22566355272336763,0.27816412343270763,1.6974610430557318,1.4073121508666067,2.575986723400799
2,0.22581783349256881,0.25605635678436145,0.36485964062788867,1.6693820824448438,1.3315949092207109,2.681032778888919
3,0.259885443451743,0.25138005379878525,0.4201676443635005,1.8224745196714478,1.1268047248209276,2.7634924996355172
4,0.3024021341148683,0.2436694100569208,0.36334324689702513,1.596738699941306,1.4277516050338626,2.792873798729446
5,0.32039403380535164,0.2363280937238441,0.28680827001232295,2.4168167685121156,1.6591345793349517,2.5565508935122363
6,0.33322884277600806,0.24012310338532986,0.34309139169765046,2.2849799671313153,2.1490405429456962,2.855944289639516
7,0.2404693471736765,0.2439720388992704,0.26792255329990494,2.373880210511584,2.2943672088401934,2.7461583040444846
8,0.25574860468075394,0.29905841764267227,0.26042039942168127,1.699563867243125,1.7854785887701627,2.975535971923811
9,0.15594786912360353,0.1791974859780936,0.18539492555449633,1.5165203846602016,1.2782180163871324,2.534920824804496
10,0.15571416255952628,0.17631791483901021,0.18744093568624376,2.2662801267208375,1.6930331517834436,1.6647755581728891
11,0.15528773989508066,0.17174097512300543,0.18748117367991532,1.5174148367239921,1.3117650305147615,2.559718568789117
12,6.8485348313413965,4.821749677226033,6.03478229209152,12.370943061339094,11.402720871732365,8.533932233299643
