Probe,var_X,var_Y,var_Z,var_X_err,var_Y_err,var_Z_err
1,0.004734001857924368,0.00560113080496307,0.0010547867833493759,0.28332183769026825,0.34463106976860486,0.27868056778770595
2,-0.001209627736040448,-0.00033941142235117223,0.0017723385866195303,0.24028462851588323,0.24650618559343812,0.2725419177308035
3,-0.0028116769576549726,-0.0032410697220444607,0.00238895117130994,0.41822223497008665,0.23757681065861805,0.33619725120753463
4,-0.0009676431881546483,0.000279586525681275,-0.0029402341906857275,0.47437550355202807,0.2894112555318718,0.15020971089899246
5,-0.0016056914262169391,0.004126726197029968,-0.003560537982081062,0.25995753574651403,0.2876123217976258,0.34475414947561317
6,-0.0030354296422519427,-0.003244755349918679,0.005071992221299397,0.3594550181512899,0.3130131571987059,0.19998053274550742
7,0.0024986761635430684,-0.008567019375101485,-0.0015364131692361092,0.3086418377853707,0.3629353290072005,0.1505977402044504
8,-0.003476124503893776,0.0019194420230607147,-0.0003026614390213582,0.21149923589649297,0.18964569545867682,0.14933625228657738
9,-0.00045710847047535487,0.0010976657312393799,-0.00014865724997645318,0.19759855731826156,0.15305340911268467,0.15687080663529052
10,0.00040582622778107474,0.005638475062950095,-0.008094796971849783,0.21496729751515836,0.1855625367551947,0.19185838072379904
11,-0.000632152287210741,0.0011974896293835734,-0.0004940377874990609,0.21262182002505245,0.14964362045608087,0.15612817050782518
mag,0.4880467234878303,0.5380526467390752,0.42865958600544474,0.0014630092289660977,0.0015964285594350003,0.001340476301903157
current,0.00796455284602715,0.00796455284602715,0.00796455284602715,0.0003359887761130466,0.0003359887761130466,0.0003359887761130466
